Question,Answer
Why is head position important in freestyle swimming?,Looking down with your head aligned to your spine helps reduce drag and maintain balance.
How should my head be positioned during freestyle?,Your head should be neutral with eyes looking downward to promote better alignment and less resistance.
What happens if your head position is too high or low while swimming freestyle?,An improper head position can disrupt body balance and increase drag slowing you down.
Why do swimmers rotate their hips during freestyle?,Hip rotation helps increase stroke length and power by engaging your core muscles.
How does rotating the hips improve freestyle technique?,Effective hip rotation boosts propulsion and allows for a smoother more powerful stroke.
Is hip movement necessary during freestyle?,Yes rotating the hips enhances your stroke efficiency and helps synchronize your body movements.
Why is it important to keep a high elbow during the catch?,A high elbow lets you engage your lats and back muscles more effectively during the pull phase.
How does elbow position affect your pull in freestyle?,A high elbow provides a better angle for applying force backward improving propulsion.
What advantage does a high elbow give in the water?,It helps catch more water early in the stroke and enables a stronger pull with less shoulder strain.
How can I get better at breathing during freestyle?,Work on exhaling fully underwater and try bilateral breathing to improve rhythm and reduce drag.
What is a good way to practice breathing while swimming freestyle?,Practice breathing every three strokes and focus on a relaxed exhale so you’re ready to inhale quickly.
How do I stop holding my breath during freestyle?,Exhale steadily through your nose while your face is underwater so your inhale is quick and effective.
Why is the kick important in freestyle?,The flutter kick stabilizes your body and adds propulsion especially during sprints.
How does a good kick help your freestyle swim?,A consistent kick supports balance and rhythm helping you maintain a horizontal body position.
Can a strong kick make you faster in freestyle?,Yes a powerful kick contributes significantly to overall speed and supports your body alignment.
How should the hands enter the water in freestyle?,Hands should enter in line with your shoulders to minimize drag and set up an efficient catch.
What is the best hand entry technique for freestyle?,Aim for a smooth hand entry with fingertips first directly in front of the shoulder to maintain streamline.
Why does hand placement matter in freestyle?,Poor hand placement increases resistance and can disrupt your stroke rhythm and efficiency.
What are frequent arm recovery mistakes in freestyle?,Swinging the arm across the body or using a stiff straight-arm recovery can cause inefficiencies and shoulder issues.
Why should I avoid crossing over during freestyle recovery?,Crossing over can throw off your balance and lead to less effective propulsion.
What are common problems during the freestyle arm recovery phase?,Straight-arm recovery and overreaching the centerline often lead to wasted energy and potential strain.
What is the significance of the 'early vertical forearm' in freestyle?,"Achieving an early vertical forearm position during the catch phase maximizes the surface area for pulling water, enhancing propulsion."
Why is an early vertical forearm useful in freestyle swimming?,"It helps swimmers catch more water early in the stroke, increasing propulsion and stroke efficiency."
How does getting the forearm vertical early affect freestyle?,"It allows the swimmer to begin the pull phase sooner with more surface area, boosting power."
How does breathing every three strokes benefit freestyle swimmers?,Bilateral breathing promotes symmetrical muscle development and helps maintain a balanced stroke.
Why should I practice bilateral breathing in freestyle?,It balances out your stroke and reduces strain on one side of the body.
What is the purpose of breathing on both sides in freestyle?,It encourages symmetry and helps you adapt better to different race conditions.
"What is the ideal head position in freestyle swimming?","Keep your head in a neutral position, looking straight down at the bottom of the pool. This helps maintain a streamlined body position and reduces drag."
"How should I breathe during freestyle?","Practice bilateral breathing by turning your head to the side, inhaling quickly through your mouth, and exhaling underwater through your nose or mouth to maintain rhythm and oxygen flow."
"What is the correct arm movement in freestyle?","Enter the water with your fingertips about 12-18 inches in front of your shoulder at a 45-degree angle, then perform an early vertical forearm (EVF) to maximize propulsion."
"How can I improve my freestyle kick?","Keep your legs relatively straight with minimal knee bend, initiating the kick from your hips. Maintain a small, fast flutter kick to aid in propulsion and balance."
"What is the role of body rotation in freestyle?","Rotating your shoulders and hips with each stroke helps increase stroke length, improves breathing efficiency, and reduces shoulder strain."
"Why is the early vertical forearm (EVF) important?","EVF allows you to catch more water early in the stroke, increasing propulsion and efficiency in your freestyle swimming."
"How can I prevent my legs from sinking during freestyle?","Engage your core muscles to maintain a horizontal body position and ensure a steady kick to keep your legs aligned with your torso."
"What are common mistakes in freestyle breathing?","Lifting your head too high to breathe can disrupt body alignment. Instead, rotate your head to the side, keeping one goggle in the water."
"How does hand entry affect freestyle efficiency?","Proper hand entry reduces drag. Aim to enter the water with your fingertips first, directly in line with your shoulder, to maintain a straight pull path."
"What drills can help improve freestyle technique?","Incorporate drills like 'catch-up', 'fingertip drag', and 'zipper drill' to focus on aspects like timing, hand entry, and body rotation."
"What is the benefit of a high elbow catch in freestyle?","A high elbow catch engages more powerful back muscles, allowing for a stronger and more efficient pull phase."
"How should I position my fingers during the freestyle pull?","Keep your fingers close together with a slight natural gap, maintaining a relaxed hand to feel the water better."
"What is a 'catch-up drill' and how does it help?","The catch-up drill involves keeping one arm extended in front while the other completes a full stroke, helping with timing and stroke length."
"Why is core engagement important in freestyle?","Engaging the core stabilizes your body and helps maintain a streamlined, horizontal position, reducing drag."
"What causes over-rotation in freestyle?","Over-rotation usually happens when swimmers try to breathe too far or twist their torso excessively, leading to imbalance."
"How can I build endurance for longer freestyle sets?","Incorporate aerobic sets like descending intervals or steady-paced swims to gradually increase stamina."
"What is the ideal kick tempo in freestyle sprints?","Use a fast, compact 6-beat kick in sprints to support body position and generate propulsion."
"Should I use fins during training?","Yes, fins help improve kick strength, ankle flexibility, and allow for focused technique drills without fatigue."
"How can I swim in a straight line during freestyle in open water?","Practice sighting every few strokes by lifting your eyes slightly forward while keeping your head low to minimize drag."
"What is 'front quadrant swimming' in freestyle?","It's a technique where one arm remains in front of the body until the other arm begins recovery, promoting balance and efficiency."
"How does hand exit affect stroke efficiency?","Finish the stroke with a strong push past your hip, then exit the water cleanly to start recovery without excess splash."
"What role do hips play in freestyle propulsion?","Hip rotation helps drive the stroke, supports shoulder rotation, and connects upper and lower body movement."
"How do you reduce drag in freestyle swimming?","Maintain a streamlined body, keep your head in line with your spine, and avoid unnecessary lateral movement."
"Why is breathing timing important in freestyle?","Proper timing ensures you don’t interrupt stroke rhythm and allows continuous forward momentum."
"Can freestyle be swum with a two-beat kick?","Yes, distance swimmers often use a two-beat kick to conserve energy while maintaining stroke rhythm."
"What is a zipper drill in freestyle?","Drag your thumb along your side during the recovery phase to encourage high elbows and controlled arm movement."
"How should I transition from catch to pull in freestyle?","After the catch, bend your elbow and press the water back with your forearm and hand, keeping the elbow above the wrist."
"Why is it important to keep a relaxed recovery in freestyle?","A relaxed recovery prevents muscle fatigue and keeps your arms moving fluidly into the next stroke."
"How can I increase my stroke rate without losing form?","Use a tempo trainer to gradually raise your stroke cadence while maintaining proper technique."
"What’s a good warm-up set for freestyle?","A typical warm-up includes 400 swim, 4x50 drill/swim, and 200 kick to prepare the body for training."
"What is the optimal head position in freestyle?","Keep your head neutral, eyes looking straight down to reduce drag and maintain body alignment."
"How does body position affect freestyle efficiency?","A streamlined, horizontal position minimizes resistance and conserves energy."
"What’s the benefit of a high elbow catch?","It maximizes surface area during the pull, engaging larger back muscles for propulsion."
"Why is a consistent kick important in freestyle?","It stabilizes your body and adds propulsion, especially in sprint distances."
"How should I breathe in freestyle?","Turn your head to the side with minimal disruption, inhaling through the mouth and exhaling underwater."
"Why is bilateral breathing helpful?","It promotes symmetry in your stroke and improves lung capacity."
"What is the purpose of sculling drills?","They help develop a feel for the water and improve your catch phase."
"What does the 'catch-up drill' improve?","It promotes stroke timing and helps lengthen your reach."
"What causes dropped elbows in freestyle?","Weak scapular control or poor awareness during the catch phase."
"How can I prevent over-rotating when breathing?","Focus on rotating through the hips and shoulders, not the neck alone."
"What is the ideal finger position during pull?","Slightly open fingers create more surface area for propulsion."
"What is early vertical forearm (EVF)?","A technique where the elbow stays high while the forearm rotates vertically to catch water early."
"How do hand paddles help?","They increase resistance, highlighting flaws in your catch and pull technique."
"Why is a streamlined push-off important?","It reduces drag and maximizes momentum from the wall."
"What is the effect of a strong core in freestyle?","It stabilizes your body, connects upper and lower body motion, and prevents excessive movement."
"What causes sinking legs?","Weak core, poor kick, or lifting the head too high during breathing."
"How can I fix sinking legs?","Engage the core, look down, and maintain a steady kick."
"What’s a good beginner drill for freestyle?","Side-kicking drills promote balance and body rotation."
"How can snorkels help freestyle training?","They remove the need to breathe, letting you focus on body alignment and stroke mechanics."
"What’s the benefit of using a tempo trainer?","It helps control and increase stroke rate without losing technique."
"What’s an efficient breathing pattern for distance swims?","Bilateral or every 3 strokes to balance oxygen and stroke symmetry."
"How can I improve my kick tempo?","Train with short fin sprints and vertical kicking sets."
"What’s the goal of fingertip drag drills?","To maintain high elbow recovery and promote relaxed movement."
"How can I fix crossover during hand entry?","Focus on entering in line with the shoulder and extending forward."
"What causes poor rotation in freestyle?","Tight hips, low stroke rate, or focusing only on arm movement."
"What is front-quadrant swimming?","A technique where one arm stays extended until the other starts pulling, increasing balance."
"What should I do after the pull phase?","Finish past the hip and recover with a relaxed arm."
"How do I build endurance for freestyle?","Use progressive sets and aerobic pacing, increasing distance over time."
"Why is consistent technique important in long swims?","To conserve energy and prevent injuries from inefficient movement."
"What’s the role of hip rotation in freestyle?","It adds power and rhythm to your stroke, syncing with shoulder movement."
"What’s a good freestyle warm-up?","200 swim, 200 kick, 200 pull, 4x50 drills focusing on form."
"Why should I avoid looking forward when swimming?","It raises your head, creating drag and dropping your hips."
"What’s the purpose of the pull buoy?","It isolates the upper body so you can focus on stroke mechanics."
"How do swim fins benefit technique work?","They assist with propulsion, letting you focus on position and arm movement."
"What is a two-beat kick?","A kick pattern where you kick once per arm stroke, common in distance swimmers."
"Why use a six-beat kick?","It provides stability and propulsion, especially in sprints."
"What causes arm timing issues in freestyle?","Rushing the recovery or pulling with both arms simultaneously."
"How can I improve arm timing?","Practice catch-up drills and use a metronome to build rhythm."
"Why are soft hands important in freestyle?","They allow you to feel the water and adjust during the catch."
"What does a wide kick indicate?","Excessive knee bend or tight hips, reducing efficiency."
"How can I correct a wide kick?","Kick from the hips, keep the knees relaxed, and keep feet close together."
"What is the ideal recovery position?","High elbow, relaxed forearm and hand, swinging over the water smoothly."
"Why is streamlined body position important?","It reduces resistance and maintains speed with less effort."
"What causes zig-zag swimming?","Uneven pull strength or hand crossover at entry."
"How can I correct zig-zag swimming?","Check hand entry, maintain straight pull, and strengthen core stability."
"Should my arm fully extend underwater?","Yes, extend forward before starting the catch to maximize reach and glide."
"What does 'press the T' mean?","Initiating the catch from the upper chest line to align arm movement with your core."
"What’s the purpose of a drill set in training?","To isolate and reinforce specific elements of the stroke."
"How should I use drills in practice?","Incorporate 15–25% of the session as drills focusing on weak points."
"How do I increase stroke rate safely?","Raise it incrementally using a tempo trainer while keeping technique intact."
"What is a distance per stroke (DPS) set?","A set focusing on maximizing distance per arm stroke to build efficiency."
"Why do elite swimmers have low stroke counts?","They optimize glide and pull strength to travel farther per stroke."
"What is a good stroke count for 25 yards?","Typically 13–18 for trained swimmers, depending on height and technique."
"Why do my arms tire quickly?","Improper pull technique or overuse of smaller shoulder muscles."
"How can I build arm endurance?","Use paddles, strength training, and long aerobic sets focusing on technique."
"What’s the best way to transition from wall to swim?","Hold streamline for 5–6 dolphin kicks, then break out smoothly into strokes."
"Why is early breathing bad off the wall?","It kills momentum from the push-off and adds drag."
"Should I train freestyle every day?","It depends on your level, but technique-focused swims can be done often with varied intensity."
"Can strength training help my freestyle?","Yes, especially for core, shoulders, and back, supporting power and injury prevention."
"What is the key to freestyle speed?","Maintaining technique under fatigue, high efficiency, and consistent propulsion."
"What makes sprint freestyle different from distance freestyle?","Sprints require higher stroke rate, more kick, and explosive power."
"How can I train for sprint freestyle?","Use short, high-intensity sets with focus on starts, turns, and tempo."
"What is the best breathing pattern for sprints?","Minimal breathing—every 4-6 strokes or as few as possible while maintaining form."
"Why should I practice sighting?","It’s essential for open water swims to maintain direction without stopping."
"What’s the goal of stroke drills?","To improve muscle memory, timing, and efficiency in specific parts of your stroke."
"What is ‘overgliding’ in freestyle?","Pausing too long after extension, causing deceleration and rhythm loss."
"How do I avoid overgliding?","Maintain steady stroke rhythm and use drills like catch-up with a slight overlap."
"What is a good drill to fix hand crossover?","Use a snorkel and swim with hand entry along lane line markers."
"Why are short rest intervals useful in training?","They simulate race fatigue and help build endurance while reinforcing form."
"What role does ankle flexibility play?","It improves propulsion and reduces drag during the kick."
"How can I improve ankle flexibility?","Use dryland stretching and swim with fins regularly."
"What are signs of overtraining?","Persistent fatigue, loss of motivation, and declining performance."
"How can I recover between freestyle sets?","Active rest like easy swimming or kick on back with controlled breathing."
"Should I focus on power or technique first?","Always build technique first—power is only helpful if used efficiently."
"How can I measure freestyle progress?","Track stroke count, stroke rate, and time over consistent intervals."
"What is the role of shoulder mobility in freestyle?","It allows for a longer reach and smoother recovery without strain."
"Why should I avoid overkicking?","It wastes energy without improving propulsion if not properly timed with strokes."
"What is the benefit of swimming with a snorkel?","It removes breathing from the equation, letting you focus on stroke mechanics."
"What causes excessive drag in freestyle?","Poor body position, over-rotation, or wide arm movements."
"How should I approach pacing in freestyle sets?","Use descending or negative split strategies to build endurance and awareness."
"How can I prevent shoulder injuries in freestyle?","Use proper technique, avoid overuse, and strengthen rotator cuff muscles."
"What is the impact of hand depth on freestyle pull?","Too deep or shallow reduces propulsion—aim for mid-depth with a vertical forearm."
"Why is hand alignment important?","It directs force backward rather than to the sides, maximizing forward motion."
"Can breathing every 2 strokes be bad?","It can cause imbalance if always on the same side; alternate sides regularly."
"How can I maintain speed when tired?","Focus on form, reduce unnecessary movements, and keep kicks compact and fast."
"What are good freestyle drills for beginners?","Side kicking, catch-up, fingertip drag, and single-arm drills are ideal starters."
"Why is rhythm important in freestyle?","It synchronizes breathing, strokes, and kicks, improving efficiency and fluidity."
"What’s the role of mental focus in technique?","Concentration improves stroke consistency and body awareness during training."
"What’s a good way to end a freestyle session?","Finish with easy swimming to reinforce good form and begin recovery."
How should I train for open water freestyle?,"Incorporate longer swims, sighting drills, and practice in conditions with chop or current."
Why is stroke efficiency more important than speed in training?,Efficiency reduces fatigue and improves long-term performance by conserving energy.
What is the ideal hand pitch in the catch phase?,Tilt your hand slightly downward to anchor effectively and start the pull.
How do I know if my kick is effective?,If it supports your body position and contributes to forward motion without exhausting your legs.
Why do some swimmers use straight arm recovery?,"It’s beneficial for sprinting, allowing a faster turnover and more momentum."
What’s the difference between hip-driven and shoulder-driven freestyle?,"Hip-driven focuses on body rotation and longer strokes, shoulder-driven on faster turnover."
When should I use drag equipment?,Use tools like parachutes or resistance cords occasionally to build strength and power.
What is a negative split swim?,"Swimming the second half of a race faster than the first, showing good pacing control."
How can I use video to improve my freestyle?,Review underwater and surface footage to identify technique flaws.
What are good dryland exercises for freestyle?,"Core work, planks, rotator cuff strengthening, and resistance band pulls."
How do I fix timing between arms and breathing?,Use 3-3-3 drill to promote rhythm and smooth head movement.
Why should I train technique at slow speeds?,Slow swimming allows greater control and awareness to refine movements.
How does drag affect sprint vs distance freestyle?,"Sprinters must minimize every bit of drag, while distance swimmers manage efficiency over time."
How do I maintain technique under fatigue?,Practice quality at the end of sets and use hypoxic training sparingly.
Should I use a metronome in training?,"Yes, it reinforces consistent stroke tempo and helps improve stroke rate."
What is the purpose of ‘finger tip drag’ drills?,To train high elbow recovery and awareness during recovery.
How does breathing every stroke affect rhythm?,It can disrupt balance unless you maintain equal rotation to both sides.
Why do elite swimmers train sculling?,It develops fine motor control and feel for the water.
What’s the best way to train for tempo control?,Progressive builds using a tempo trainer and stroke rate tracking.
How do I know if I’m overkicking?,"If your legs tire quickly without increasing speed, your kick may be excessive."
What should I do if my freestyle feels unbalanced?,"Check for asymmetry in pull strength, breathing side, and rotation."
How can snorkels help detect flaws?,"They remove head movement, exposing stroke imbalance or crossovers."
Why is shoulder mobility important?,It allows full range of motion for efficient catch and recovery without strain.
What’s the effect of poor streamline after push-off?,"Increased drag and slower breakouts, losing valuable momentum."
What is a build swim?,A swim where you gradually increase intensity over the length of the lap or set.
How does tension affect freestyle?,Too much muscle tension restricts movement; stay relaxed for fluidity.
Why do my hands create bubbles during the catch?,You may be entering with too much force or not engaging the water smoothly.
What’s a 'closed-fist' drill used for?,To emphasize forearm use during the pull by removing hand surface area.
How should I control breathing in cold water?,"Exhale slowly, don’t hyperventilate, and build tolerance with practice."
Why does my stroke fall apart when sprinting?,You might lack strength endurance or neuromuscular control at high speeds.
What is the 'pocket' during hand entry?,The space about 12 inches ahead of your shoulder where your hand should enter.
Should I train freestyle with paddles all the time?,"No, use them sparingly to avoid overuse injuries and keep feel for the water."
How does hand speed affect stroke mechanics?,Too fast can cause loss of control; aim for smooth acceleration through the pull.
What’s the goal of ‘zipper drill’?,"To keep your elbow high and promote efficient, close recovery path."
How do I fix flat body position?,"Improve rotation, head alignment, and core strength."
What are ‘sink downs’ in warm-ups?,"Breath control drills where you exhale to sink, improving CO2 tolerance."
Why do I get water in my mouth when breathing?,Late head turn or poor timing can cause waves to enter.
How can I train for faster turns?,"Practice tight flip turns, streamline holds, and dolphin kick breakouts."
Why do I slow down at the end of a 100 free?,Possible pacing error or lack of anaerobic conditioning.
How can I practice hand entry alignment?,Use mirror drills or swim with paddles and a snorkel to isolate entry.
What does 'distance per stroke' mean?,The length you travel with each stroke—longer is usually more efficient.
What’s a 'head lead' drill?,Drill where you lead with your head in streamline to train alignment.
How can I train shoulder endurance?,"Use band work, long swims, and broken sprint sets to build tolerance."
Why does my breathing feel rushed?,Likely due to poor rhythm or turning your head too late.
How can I build a stronger kick?,"Incorporate vertical kicking, resistance work, and ankle mobility drills."
What does high stroke count indicate?,"Short strokes or poor glide, leading to inefficiency."
How do I develop a stronger pull?,"Focus on EVF, core engagement, and pulling drills like sculling."
Why is stroke timing so important?,It ensures continuous propulsion and reduces dead zones in your swim.
What’s the best way to learn freestyle as an adult?,"Start with floatation support, kick drills, and consistent breathing practice."
How do I know my freestyle is improving?,"Track stroke rate, reduce lap time, and maintain form under fatigue."
What is ‘overreaching’ in freestyle?,"When the arm crosses midline during entry, leading to imbalance."
How do I prevent overreaching?,Focus on shoulder-width entry and visual cues like lane lines.
What’s the purpose of pulling sets?,To isolate and strengthen arm technique and upper body propulsion.
Why should I train freestyle with minimal breathing?,"To improve CO2 tolerance, streamline, and focus on stroke mechanics."
What are broken sets used for?,To simulate race fatigue and train speed endurance.
Why does freestyle feel harder in open water?,"Lack of walls, visibility, and environmental conditions affect rhythm."
What’s the impact of fatigue on body position?,"Your hips and legs drop, increasing drag and energy cost."
What’s the effect of strong dolphin kicks off the wall?,They generate more speed and distance before beginning your stroke.
How should I transition from drill to full stroke?,Blend elements gradually and maintain awareness of changes.
Why is warm-down important after freestyle sets?,To flush lactic acid and reinforce technique at low intensity.
What’s the purpose of underwater filming?,"It provides insight into catch, pull, and body line issues."
How can I measure progress besides time?,"Track technique metrics: stroke count, rate, tempo, and form."
Why use descending intervals in freestyle?,They develop pacing skill and teach controlled speed increase.
What’s a 'long-axis' stroke?,Freestyle and backstroke—rotational strokes around the body’s long axis.
What’s the difference between tempo and cadence?,Tempo is time per stroke; cadence is strokes per minute—both impact rhythm.
How can I practice consistent body roll?,Use kickboard rotation drills or snorkel-side kicking drills.
Why is it hard to maintain speed at the surface?,Surface drag and technique flaws cause greater resistance than underwater.
How does posture affect freestyle?,Good posture aligns the spine and keeps the stroke connected through the core.
Why is split timing important?,It helps assess race pacing and mid-race efficiency.
How can I reduce lactate buildup in freestyle sprints?,Train anaerobic sets and practice proper breathing recovery.
How do I correct poor alignment in freestyle?,"Video feedback, core training, and mirror drills help improve straight-line swimming."
What’s a good set to develop tempo control?,12x25 @ increasing stroke rates using a tempo trainer.
Should I train breath control every practice?,"Include it occasionally, especially early or mid-session to build tolerance."
What’s the difference between elite and beginner freestyle?,"Elite swimmers show high efficiency, precise technique, and fluid rhythm under stress."
How does water pressure affect my stroke?,Feeling pressure means you're anchoring water correctly during the pull.
Why is timing off when I’m tired?,Fatigue disrupts neuromuscular control—train technique under fatigue to improve.
How do I find my ideal stroke rate?,Experiment using a tempo trainer and find balance between speed and control.
What does 'active streamline' mean?,Engaging muscles to hold a tight body line off walls and during glide.
What’s the benefit of freestyle drills for other strokes?,"They reinforce general propulsion mechanics, streamline, and rotation."
How should I integrate sprint and distance work?,Use sprint sets to improve mechanics and distance for aerobic capacity.
Why does freestyle help triathletes?,It’s the most energy-efficient stroke for long-distance open water swimming.
Can I use freestyle to recover from injury?,"Yes, with clearance—focus on gentle, technique-focused sessions with limited volume."
How can I increase comfort with bilateral breathing?,Practice breathing every 3 strokes in warm-up and short sets.
Why is open water freestyle harder to pace?,No walls or feedback—practice effort-based training to improve feel.
What is hypoxic training?,Restricting breaths per length to improve oxygen efficiency and mental focus.
Should I change my stroke for wetsuit swimming?,"Yes, emphasize higher stroke rate and relaxed kick to stay streamlined."
What’s the role of feedback in freestyle training?,Timely feedback helps correct flaws early and reinforce good habits.
